Name,Operation,Command Sent,Response Received,Conversion,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:15:42
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:15:43
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:15:45
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:15:46
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:15:47
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:15:47
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:15:48
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:15:48
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:15:50
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:15:51
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:05
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:21:08
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:09
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:21:10
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:21:11
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:11
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:38
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:21:39
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:40
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:21:40
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:21:41
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:21:42
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:42
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:43
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:21:44
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:21:45
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:21:45
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:46
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:47
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:48
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:48
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:49
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:50
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:51
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:21:51
