Name,Operation,Command Sent,Response Received,Conversion,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:16:43
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:16:44
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:16:45
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:16:45
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:16:46
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:16:46
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:17:53
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:17:56
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:20
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:18:32
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:35
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:38
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:41
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:44
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:47
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:50
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:18:53
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:18:56
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:18:59
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:03
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:06
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:09
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:19:12
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:15
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:18
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:21
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:24
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:27
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:30
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:33
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:36
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:19:39
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:42
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:49
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:19:51
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:54
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:19:57
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:20:00
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:23:00
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:23:01
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:23:01
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:23:02
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:23:02
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-08 11:23:02
Tag ID,Read,24110100E1F023,E2004700D1B0602169AB010E,hex as it is,UART,2026-09-08 11:23:03
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:23:03
Tag ID,Read,24110100E1F023,E200470E6DD06021436D0108,hex as it is,UART,2026-09-08 11:23:04
