Name,Operation,Command Sent,Response Received,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:34:59
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:00
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:00
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:01
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:02
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:03
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:03
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:04
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:05
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:07
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:08
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:09
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:10
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:11
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:12
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:14
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:15
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:16
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:17
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:18
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:19
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:35:20
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:35:21
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:35:22
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:24
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:25
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:28
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:29
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:29
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:30
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:31
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:32
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:33
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:33
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:34
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:35
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:36
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:37
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:38
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:38
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:39
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:40
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:41
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:41
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:42
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:48:42
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:43
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-10 09:48:44
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:48:44
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:49:54
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:49:55
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:49:56
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:49:58
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:49:59
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:00
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:01
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-10 09:50:02
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-10 09:50:03
